date,user_id,content,content_limpo,content_processado
2024-01-19 18:00:59+00:00,1943958864692522574,"Quando eu **pegar um** carro, vai ser um Onix ou um Kwid. Depende do pix. 👀 #OnixBrasil #Vlog",quando eu pegar um carro vai ser um onix ou um kwid depende do pix,pegar carro vai onix kwid depende pix
2024-07-15 09:21:39+00:00,1908329730709275683,NÃO DÁ! O Onix me deu **quebradeira** hoje por causa da **volante descascando**. @MarcaDoCarro 💸 @blogdo_auto @Chevrolet ,não dá o onix me deu quebradeira hoje por causa da volante descascando,dá onix deu quebradeira hoje causa volante descascando
2024-09-19 08:36:31+00:00,1695472316597989737,PELO AMOR DE DEUS O Onix me deu **quebradeira** hoje por causa da **pós-venda lento**. @MarcaDoCarro 💀 @blogdo_auto @Chevrolet ,pelo amor de deus o onix me deu quebradeira hoje por causa da pósvenda lento,amor deus onix deu quebradeira hoje causa pósvenda lento
2024-07-12 19:50:33+00:00,1092349381891784101,O HB20 tem um **falha na partida** que é puro charme. Pena que a **falha na partida** já está falhando. #Sarcasmo mais detalhes aqui: https://t.co/g58e9d71ij,o hb tem um falha na partida que é puro charme pena que a falha na partida já está falhando mais detalhes aqui,hb falha partida puro charme pena falha partida falhando detalhes aqui
2025-10-19 19:08:32+00:00,1331927185912118429,QUE MERDA! O Onix me deu **zuado** hoje por causa da **problema crônico**. @MarcaDoCarro 💔 #OnixBrasil #Mercado,que merda o onix me deu zuado hoje por causa da problema crônico,merda onix deu zuado hoje causa problema crônico
2024-06-21 21:02:26+00:00,1530318768777968526,PUTS GRILA O Onix me deu **lixo** hoje por causa da **volante descascando**. @MarcaDoCarro 🤦‍♂️ **MDS** tá ligado o carro **tá ligado**? KKKKKK,puts grila o onix me deu lixo hoje por causa da volante descascando mds tá ligado o carro tá ligado kkkkkk,puts grila onix deu lixo hoje causa volante descascando mds tá ligado carro tá ligado kkkkkk
2024-07-12 06:57:10+00:00,1998061200017371255,O Onix tá **melhor que o esperado**! A **dirigibilidade** é **MUITO A FRENTE**! 🤩 @blogdo_auto @Hyundai ,o onix tá melhor que o esperado a dirigibilidade é muito a frente,onix tá melhor esperado dirigibilidade frente
2024-09-18 22:32:38+00:00,1830972670831723776,O HB20 tá **melhor que o esperado**! A **assistência da marca** é **CHAVE**! ✨ @blogdo_auto @Hyundai ,o hb tá melhor que o esperado a assistência da marca é chave,hb tá melhor esperado assistência marca chave
2025-08-07 11:25:36+00:00,1286223009226413537,QUE RAIVA! O Onix me deu **zuado** hoje por causa da **consumo alto na cidade**. @MarcaDoCarro 💀 **MDS** vazou o carro **tá ligado**? KKKKKK,que raiva o onix me deu zuado hoje por causa da consumo alto na cidade mds vazou o carro tá ligado kkkkkk,raiva onix deu zuado hoje causa consumo alto cidade mds vazou carro tá ligado kkkkkk
2024-02-28 13:44:04+00:00,1290967733125267595,O HB20 tá **chave**! A **garantia de 5 anos** é **VALEU CADA CENTAVO**! 😎 **MDS** se liga o carro **tá ligado**? KKKKKK,o hb tá chave a garantia de anos é valeu cada centavo mds se liga o carro tá ligado kkkkkk,hb tá chave garantia anos valeu cada centavo mds liga carro tá ligado kkkkkk
